ID_Unico;ID1;QTRIMESTRE;FAC;FANC;FTA;FTPC;FTPNC;FTP;FTPN
20234;2023;Cuarto;992,249;2,229,486;3,221,735;689,388;1,342,339;2,031,727;1,190,008
20233;2023;Tercero;1,125,351;2,278,682;3,404,033;691,144;1,383,198;2,074,342;1,329,691
20232;2023;Segundo;1,131,475;2,217,013;3,348,488;643,439;2,064,912;1,283,576;1,283,573
20231;2023;Primero;1,115,582;2,168,061;3,328,643;587,461;2,043,501;1,240,142;1,240,142
20224;2022;Cuarto;1,188,453;2,125,708;3,314,161;953,139;1,165,887;2,119,025;1,195,135
20223;2022;Tercero;1,284,413;2,087,646;3,372,059;1,051,095;986,093;2,037,188;1,334,871
20222;2022;Segundo;1,210,916;2,060,468;3,271,384;1,065,041;916,559;1,981,600;1,289,784
20221;2022;Primero;1,108,618;2,065,504;3,174,122;1,015,354;915,796;1,931,150;1,242,972
20214;2021;Cuarto;1,009,390;2,192,382;3,201,772;722,160;1,283,807;2,005,967;1,195,805
20213;2021;Tercero;971,812;2,177,429;3,149,241;483,095;1,521,464;2,004,559;1,144,682
20212;2021;Segundo;1,002,898;2,139,760;3,142,658;788,746;1,260,561;2,049,307;1,093,351
20211;2021;Primero;947,529;2,132,940;3,080,469;432,409;1,244,547;1,676,956;1,403,513
20204;2020;Cuarto;877,739;2,138,545;3,016,284;265,070;1,383,659;1,648,729;1,367,555
20203;2020;Tercero;964,778;2,162,075;3,126,853;323,858;1,371,555;1,695,413;1,413,440
20202;2020;Segundo;950,161;2,181,507;2,131;557,248;1,186,344;1,743,592;1,388,076
20201;2020;Primero;904,799;2,191,731;3,096,530;477,100;1,183,678;1,660,778;1,435,752
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
